model_attack,metric,dataset,frac,spatial_m,spatial_se,random_m,random_se,conc_iris,conc_wine,conc_ratio
svm+hsj,m0_raw_spread,iris,0.8,1.1005864187980636,0.039347512277474336,1.0458751712056757,0.05054359631823861,0.45231325311425835,0.3102828958910374,0.6859911659777459
svm+hsj,m0_raw_spread,iris,0.9,1.1221654564121415,0.050803153908670434,1.0608765072518223,0.0506968567096374,0.45231325311425835,0.3102828958910374,0.6859911659777459
svm+hsj,m0_raw_spread,wine,0.8,1.0133305831937103,0.03049132465590196,1.0143256411409836,0.03096123803635008,0.45231325311425835,0.3102828958910374,0.6859911659777459
svm+hsj,m0_raw_spread,wine,0.9,1.0187214652254928,0.024619595964574355,1.02074392691653,0.02649927917304401,0.45231325311425835,0.3102828958910374,0.6859911659777459
svm+hsj,m1_knn_ratio,iris,0.8,1.0517348775762054,0.012264719045888271,1.0231552164629367,0.015052419867744271,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m1_knn_ratio,iris,0.9,1.054950382041517,0.021776833092860437,1.0314916862995769,0.013293785223790268,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m1_knn_ratio,wine,0.8,0.9743669095431281,0.0048152616463079815,0.9850382500829686,0.007620232534254776,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m1_knn_ratio,wine,0.9,0.9870647964172208,0.00670835221000953,0.9885992213694795,0.0075043326659761074,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m2_lof,iris,0.8,1.0180008806810938,0.01322550351248444,1.0197720554315257,0.016003871208970656,0.19617049396038055,0.1676596850156784,0.8546631128407093
svm+hsj,m2_lof,iris,0.9,1.0317905609369573,0.015753107303453938,1.0203959773391946,0.012127760305088102,0.19617049396038055,0.1676596850156784,0.8546631128407093
svm+hsj,m2_lof,wine,0.8,0.9580225114447715,0.0039777838994754814,0.9751527859148578,0.0035827774690257155,0.19617049396038055,0.1676596850156784,0.8546631128407093
svm+hsj,m2_lof,wine,0.9,0.9758309318336894,0.007915704162499388,0.9770652707546812,0.004665941489840282,0.19617049396038055,0.1676596850156784,0.8546631128407093
svm+hsj,m2b_lof_robust,iris,0.8,0.9933646567774991,0.007561274342483639,0.997243698104161,0.005735052524665357,0.19617048888511845,0.16765966980281627,0.8546630574031004
svm+hsj,m2b_lof_robust,iris,0.9,0.9999208960805668,0.008938245623849431,0.9935251638092771,0.00748159295720086,0.19617048888511845,0.16765966980281627,0.8546630574031004
svm+hsj,m2b_lof_robust,wine,0.8,0.9793346544231234,0.0024781755515048682,0.9876096277304958,0.002406542552179915,0.19617048888511845,0.16765966980281627,0.8546630574031004
svm+hsj,m2b_lof_robust,wine,0.9,0.9966932973441195,0.00802053153654077,0.9911793167921361,0.004023045037054332,0.19617048888511845,0.16765966980281627,0.8546630574031004
svm+hsj,m3_pca_spread,iris,0.8,1.1244327067095603,0.05486127971218128,1.0675768829018453,0.04554730860512069,0.4624244347978421,0.47239508009466846,1.0215616748305811
svm+hsj,m3_pca_spread,iris,0.9,1.1157613795032226,0.032778862121798626,1.066191172520026,0.06863734694021496,0.4624244347978421,0.47239508009466846,1.0215616748305811
svm+hsj,m3_pca_spread,wine,0.8,1.0421386536540986,0.055948070110235046,0.9683026075444652,0.03953380325951641,0.4624244347978421,0.47239508009466846,1.0215616748305811
svm+hsj,m3_pca_spread,wine,0.9,1.0696595547722698,0.05091615515059176,0.961859220398116,0.04736754701214625,0.4624244347978421,0.47239508009466846,1.0215616748305811
svm+hsj,m4_knn_local,iris,0.8,1.1334838024177156,0.020799769280052546,1.0649079068390916,0.016300803312163884,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m4_knn_local,iris,0.9,1.142470007553539,0.021660385759017155,1.0866082032881401,0.020505617810178994,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m4_knn_local,wine,0.8,0.9403340253033899,0.011371721415294366,0.9768199976720886,0.010827145580556459,0.3480630311679995,0.2569310793768833,0.7381739982976544
svm+hsj,m4_knn_local,wine,0.9,0.9524683723364703,0.015289143490055517,0.9576350468364918,0.013083322521596325,0.3480630311679995,0.2569310793768833,0.7381739982976544
tree+dta,m0_raw_spread,iris,0.8,1.2009820316880782,0.03962739334384878,1.092813172548921,0.05403816097032553,0.535601167453351,0.30252275403602513,0.5648284066938182
tree+dta,m0_raw_spread,iris,0.9,1.2593767704615224,0.04289557731179533,1.1202072820848008,0.03867414151949245,0.535601167453351,0.30252275403602513,0.5648284066938182
tree+dta,m0_raw_spread,wine,0.8,1.0399707114721217,0.011814890654617613,0.9950638371081084,0.017163904974050598,0.535601167453351,0.30252275403602513,0.5648284066938182
tree+dta,m0_raw_spread,wine,0.9,1.0403598829206984,0.016390614373305242,1.0047880354432444,0.01532001244475783,0.535601167453351,0.30252275403602513,0.5648284066938182
tree+dta,m1_knn_ratio,iris,0.8,0.9887801317848381,0.011019631027562685,0.9903489368995533,0.012145907126483594,0.4660254861650399,0.21726501061775116,0.46620843079987295
tree+dta,m1_knn_ratio,iris,0.9,0.9816834033438394,0.011280201153629238,0.996419635984811,0.009775922519621722,0.4660254861650399,0.21726501061775116,0.46620843079987295
tree+dta,m1_knn_ratio,wine,0.8,1.0066252406975635,0.004426285253043067,1.0028525660956915,0.004122503515016042,0.4660254861650399,0.21726501061775116,0.46620843079987295
tree+dta,m1_knn_ratio,wine,0.9,1.011313026959059,0.004826480124491373,1.0065072329917057,0.0052470269512226025,0.4660254861650399,0.21726501061775116,0.46620843079987295
tree+dta,m2_lof,iris,0.8,5.65928915512997e-7,3.075174214165817e-9,5.793937669230018e-7,4.078695229293608e-9,32.81026459324182,0.13397261961440993,0.004083253252459455
tree+dta,m2_lof,iris,0.9,5.654860664760337e-7,2.9616677596440502e-9,5.738159388868016e-7,3.759509843971581e-9,32.81026459324182,0.13397261961440993,0.004083253252459455
tree+dta,m2_lof,wine,0.8,0.998771418732175,0.0029574809303477704,1.0008744741923832,0.002740619729181279,32.81026459324182,0.13397261961440993,0.004083253252459455
tree+dta,m2_lof,wine,0.9,1.0030902442947047,0.0036628248413543636,0.9999967678666006,0.0025089497070095584,32.81026459324182,0.13397261961440993,0.004083253252459455
tree+dta,m2b_lof_robust,iris,0.8,0.9938199060871047,0.003289145098799992,1.001641494514226,0.0040536302143245415,32.57916001509785,0.13397261961383616,0.004112218349145605
tree+dta,m2b_lof_robust,iris,0.9,0.99622511691444,0.0022510951526861452,0.9970928175820998,0.0027477589727662273,32.57916001509785,0.13397261961383616,0.004112218349145605
tree+dta,m2b_lof_robust,wine,0.8,0.9989218043696891,0.0013466634990339336,1.0001572592290746,0.0016781342628555658,32.57916001509785,0.13397261961383616,0.004112218349145605
tree+dta,m2b_lof_robust,wine,0.9,1.0017603004663604,0.001718835164319546,0.9995442836212897,0.0015220582888220732,32.57916001509785,0.13397261961383616,0.004112218349145605
tree+dta,m3_pca_spread,iris,0.8,1.174834827485558,0.05286386696433255,1.0979136973447643,0.04506076562644074,0.5429380106819087,0.4441524216996195,0.818053650621701
